# The average magnetic field strength produced by the spacecraft at the
# location of the outboard magnetometer of the dual magnetometers system 
# on V1 and V2 is about 0.1 - 0.2 nT, comparable to the most probable magnetic 
# field strength in the inner heliosheath and significantly larger than the most 
# probable magnetic field strength in the distant supersonic solar wind. 
# The spacecraft magnetic field is a complex, time-dependent signal that must
# be removed from the measured magnetic field signal in order to derive the 
# ambient magnetic fields of the solar wind and heliosheath. Corrections must 
# also be made for spurious magnetic signals and noise associated with the 
# telemetry system, ground tracking systems, and other factors. Extracting the 
# signal describing the solar wind and heliosheath from the many sources of 
# uncertainty is a complex and partly subjective process that requires 
# understanding of the instrument and judgment based on experience in dealing 
# with the ever-changing extraneous signals.  For the V2 MAG data the 1-sigma 
# uncertainty in the 48 sec averages for each of the components of the magnetic 
# field  BR, BT, and BN is typically +/- 0.03 nT; the uncertainty in magnitude f1 is 
# typically +/- 0.04 nT. F1, BR, BT, and BN can differ from one another and they 
# may vary with time, but there is no practical way to determine these uncertainties 
# more precisely at present.
#
# References 
#
# Daniel B. Berdichevsky, Voyager Mission, Detailed processing of weak magnetic 
# fields; I - Constraints to the uncertainties of the calibrated magnetic field signal 
# in the Voyager missions , 2009; 
# http://vgrmag.gsfc.nasa.gov/Berdichevsky-VOY_sensor_opu090518.pdf
#
# Behannon, K.W., M.H. Acuña, L.F. Burlaga, R.P. Lepping, N.F. Ness, and 
# F.M. Neubauer, Magnetic-Field Experiment for Voyager-1 and Voyager-2, 
# Space Science Reviews, 21 (3), 235-257, 1977. 
#
# Burlaga, L.F., Merged interaction regions and large-scale magnetic field 
# fluctuations during 1991 - Voyager-2 observations, J. Geophys. Res., 99 (A10), 
# 19341-19350, 1994. 
#
# Burlaga, L.F., N.F. Ness, Y.-M. Wang, and N.R. Sheeley Jr., Heliospheric magnetic 
# field strength and polarity from 1 to 81 AU during the ascending phase of solar 
# cycle 23, J. Geophys. Res., 107 (A11), 1410, 2002. 
#
# Ness, N., K.W. Behannon, R. Lepping, and K.H. Schatten, J. Geophys. Res., , 
# 76, 3564, 1971.
#
# SC	year	DOY	F1	BR	BT	BN	dF1	dBR	dBT	dBN
2	2007	243.7303	0.1976	-0.1087	-0.0958	0.1335	0.04	0.03	0.03	0.03
2	2007	243.7308	0.1855	-0.1046	-0.0643	0.1385	0.04	0.03	0.03	0.03
2	2007	243.7325	0.0649	-0.0319	-0.0557	0.0088	0.04	0.03	0.03	0.03
2	2007	243.733	0.0644	-0.0326	-0.0547	-0.0049	0.04	0.03	0.03	0.03
2	2007	243.7336	0.0681	-0.036	-0.0571	-0.0023	0.04	0.03	0.03	0.03
2	2007	243.7342	0.0806	-0.0394	-0.0694	-0.0103	0.04	0.03	0.03	0.03
2	2007	243.7347	0.0853	-0.03	-0.0774	-0.0181	0.04	0.03	0.03	0.03
2	2007	243.7353	0.0794	-0.0289	-0.0686	-0.0273	0.04	0.03	0.03	0.03
2	2007	243.7358	0.0796	-0.0295	-0.0647	-0.0351	0.04	0.03	0.03	0.03
2	2007	243.7364	0.069	-0.0222	-0.0599	-0.0251	0.04	0.03	0.03	0.03
2	2007	243.7369	0.0697	-0.0091	-0.0634	-0.0266	0.04	0.03	0.03	0.03
2	2007	243.7375	0.0527	-0.0172	-0.048	0.0099	0.04	0.03	0.03	0.03
2	2007	243.7381	0.0733	-0.014	-0.07	0.0136	0.04	0.03	0.03	0.03
2	2007	243.7386	0.092	-0.0025	-0.0905	-0.0119	0.04	0.03	0.03	0.03
2	2007	243.7392	0.0915	-9E-4	-0.0905	-0.0127	0.04	0.03	0.03	0.03
2	2007	243.7397	0.0955	-0.0049	-0.0951	-0.0016	0.04	0.03	0.03	0.03
2	2007	243.7403	0.121	0.0065	-0.119	0.0171	0.04	0.03	0.03	0.03
2	2007	243.7408	0.1213	-0.0224	-0.111	0.0431	0.04	0.03	0.03	0.03
2	2007	243.7414	0.1449	-0.03	-0.1343	0.0448	0.04	0.03	0.03	0.03
2	2007	243.7419	0.168	-0.0236	-0.1655	0.0155	0.04	0.03	0.03	0.03
2	2007	243.7425	0.1779	-0.0261	-0.1756	0.0025	0.04	0.03	0.03	0.03
2	2007	243.743	0.1915	-0.0095	-0.19	-0.0206	0.04	0.03	0.03	0.03
