# The average magnetic field strength produced by the spacecraft at the
# location of the outboard magnetometer of the dual magnetometers system 
# on V1 and V2 is about 0.1 - 0.2 nT, comparable to the most probable magnetic 
# field strength in the inner heliosheath and significantly larger than the most 
# probable magnetic field strength in the distant supersonic solar wind. 
# The spacecraft magnetic field is a complex, time-dependent signal that must
# be removed from the measured magnetic field signal in order to derive the 
# ambient magnetic fields of the solar wind and heliosheath. Corrections must 
# also be made for spurious magnetic signals and noise associated with the 
# telemetry system, ground tracking systems, and other factors. Extracting the 
# signal describing the solar wind and heliosheath from the many sources of 
# uncertainty is a complex and partly subjective process that requires 
# understanding of the instrument and judgment based on experience in dealing 
# with the ever-changing extraneous signals.  For the V2 MAG data the 1-sigma 
# uncertainty in the 48 sec averages for each of the components of the magnetic 
# field  BR, BT, and BN is typically +/- 0.03 nT; the uncertainty in magnitude f1 is 
# typically +/- 0.04 nT. F1, BR, BT, and BN can differ from one another and they 
# may vary with time, but there is no practical way to determine these uncertainties 
# more precisely at present.
#
# References 
#
# Daniel B. Berdichevsky, Voyager Mission, Detailed processing of weak magnetic 
# fields; I - Constraints to the uncertainties of the calibrated magnetic field signal 
# in the Voyager missions , 2009; 
# http://vgrmag.gsfc.nasa.gov/Berdichevsky-VOY_sensor_opu090518.pdf
#
# Behannon, K.W., M.H. Acuña, L.F. Burlaga, R.P. Lepping, N.F. Ness, and 
# F.M. Neubauer, Magnetic-Field Experiment for Voyager-1 and Voyager-2, 
# Space Science Reviews, 21 (3), 235-257, 1977. 
#
# Burlaga, L.F., Merged interaction regions and large-scale magnetic field 
# fluctuations during 1991 - Voyager-2 observations, J. Geophys. Res., 99 (A10), 
# 19341-19350, 1994. 
#
# Burlaga, L.F., N.F. Ness, Y.-M. Wang, and N.R. Sheeley Jr., Heliospheric magnetic 
# field strength and polarity from 1 to 81 AU during the ascending phase of solar 
# cycle 23, J. Geophys. Res., 107 (A11), 1410, 2002. 
#
# Ness, N., K.W. Behannon, R. Lepping, and K.H. Schatten, J. Geophys. Res., , 
# 76, 3564, 1971.
#
# SC	year	DOY	F1	BR	BT	BN	dF1	dBR	dBT	dBN
2	2008	3.5145	0.1217	0.0405	-0.0626	0.0961	0.04	0.03	0.03	0.03
2	2008	3.5151	0.1137	0.0407	-0.0606	0.0871	0.04	0.03	0.03	0.03
2	2008	3.5156	0.1115	0.0451	-0.0602	0.0821	0.04	0.03	0.03	0.03
2	2008	3.5162	0.1119	0.0442	-0.0671	0.0778	0.04	0.03	0.03	0.03
2	2008	3.5167	0.1291	0.0439	-0.0786	0.0925	0.04	0.03	0.03	0.03
2	2008	3.5173	0.1341	0.0458	-0.0796	0.0977	0.04	0.03	0.03	0.03
2	2008	3.5178	0.1369	0.0419	-0.0804	0.1024	0.04	0.03	0.03	0.03
2	2008	3.5184	0.1386	0.0396	-0.0803	0.1057	0.04	0.03	0.03	0.03
2	2008	3.519	0.1422	0.0403	-0.0773	0.1123	0.04	0.03	0.03	0.03
2	2008	3.5195	0.1363	0.0367	-0.0752	0.1076	0.04	0.03	0.03	0.03
2	2008	3.5201	0.1345	0.0385	-0.0705	0.1078	0.04	0.03	0.03	0.03
2	2008	3.5206	0.1321	0.0408	-0.073	0.1022	0.04	0.03	0.03	0.03
2	2008	3.5212	0.132	0.046	-0.0696	0.1023	0.04	0.03	0.03	0.03
2	2008	3.5217	0.1396	0.0452	-0.0792	0.1056	0.04	0.03	0.03	0.03
2	2008	3.5223	0.139	0.0441	-0.0756	0.1077	0.04	0.03	0.03	0.03
2	2008	3.5228	0.1383	0.0429	-0.071	0.1106	0.04	0.03	0.03	0.03
2	2008	3.5234	0.1292	0.0397	-0.0588	0.108	0.04	0.03	0.03	0.03
2	2008	3.524	0.1319	0.0386	-0.0638	0.1087	0.04	0.03	0.03	0.03
2	2008	3.5245	0.133	0.0376	-0.0634	0.1107	0.04	0.03	0.03	0.03
2	2008	3.5251	0.1326	0.0423	-0.0731	0.1022	0.04	0.03	0.03	0.03
2	2008	3.5256	0.1289	0.0443	-0.0705	0.0983	0.04	0.03	0.03	0.03
2	2008	3.5262	0.1227	0.0415	-0.0605	0.0983	0.04	0.03	0.03	0.03
2	2008	3.5267	0.1266	0.0364	-0.0641	0.1028	0.04	0.03	0.03	0.03
2	2008	3.5273	0.126	0.0301	-0.0717	0.0991	0.04	0.03	0.03	0.03
2	2008	3.5278	0.1311	0.0322	-0.0714	0.105	0.04	0.03	0.03	0.03
2	2008	3.5284	0.1312	0.0274	-0.0701	0.1075	0.04	0.03	0.03	0.03
2	2008	3.529	0.1345	0.034	-0.0709	0.1091	0.04	0.03	0.03	0.03
2	2008	3.5295	0.1273	0.0286	-0.0641	0.1062	0.04	0.03	0.03	0.03
2	2008	3.5301	0.1325	0.0298	-0.067	0.1102	0.04	0.03	0.03	0.03
2	2008	3.5306	0.1311	0.0291	-0.0729	0.1049	0.04	0.03	0.03	0.03
2	2008	3.5312	0.1339	0.0342	-0.0741	0.106	0.04	0.03	0.03	0.03
2	2008	3.5317	0.1304	0.0322	-0.0677	0.1067	0.04	0.03	0.03	0.03
2	2008	3.5323	0.1296	0.0242	-0.0644	0.1097	0.04	0.03	0.03	0.03
2	2008	3.5328	0.1352	0.0264	-0.069	0.1132	0.04	0.03	0.03	0.03
2	2008	3.5334	0.1338	0.0306	-0.0644	0.1131	0.04	0.03	0.03	0.03
2	2008	3.534	0.1411	0.0276	-0.0684	0.1203	0.04	0.03	0.03	0.03
2	2008	3.5345	0.1404	0.025	-0.0624	0.1232	0.04	0.03	0.03	0.03
2	2008	3.5351	0.1449	0.0284	-0.067	0.1253	0.04	0.03	0.03	0.03
2	2008	3.5356	0.1467	0.0295	-0.0636	0.1288	0.04	0.03	0.03	0.03
2	2008	3.5362	0.1508	0.0264	-0.0664	0.1328	0.04	0.03	0.03	0.03
2	2008	3.5367	0.1521	0.0265	-0.0666	0.1341	0.04	0.03	0.03	0.03
2	2008	3.5373	0.143	0.0299	-0.0595	0.1265	0.04	0.03	0.03	0.03
2	2008	3.5378	0.1341	0.0326	-0.0582	0.1163	0.04	0.03	0.03	0.03
2	2008	3.5384	0.1379	0.0283	-0.0611	0.1203	0.04	0.03	0.03	0.03
2	2008	3.539	0.1341	0.0239	-0.0536	0.1206	0.04	0.03	0.03	0.03
2	2008	3.5395	0.1334	0.0265	-0.0552	0.1185	0.04	0.03	0.03	0.03
2	2008	3.5401	0.1313	0.0261	-0.0516	0.1179	0.04	0.03	0.03	0.03
2	2008	3.5406	0.1396	0.0209	-0.0549	0.1266	0.04	0.03	0.03	0.03
2	2008	3.5412	0.1409	0.0167	-0.057	0.1276	0.04	0.03	0.03	0.03
2	2008	3.5417	0.14	0.0199	-0.0607	0.1245	0.04	0.03	0.03	0.03
2	2008	3.5423	0.1356	0.0246	-0.0516	0.1229	0.04	0.03	0.03	0.03
2	2008	3.5428	0.1354	0.024	-0.052	0.1227	0.04	0.03	0.03	0.03
2	2008	3.5434	0.1325	0.0283	-0.0551	0.1171	0.04	0.03	0.03	0.03
2	2008	3.544	0.1325	0.026	-0.0571	0.1166	0.04	0.03	0.03	0.03
2	2008	3.5445	0.1325	0.0248	-0.052	0.1192	0.04	0.03	0.03	0.03
2	2008	3.5451	0.1359	0.0202	-0.0527	0.1236	0.04	0.03	0.03	0.03
2	2008	3.5456	0.1384	0.0271	-0.0481	0.1267	0.04	0.03	0.03	0.03
2	2008	3.5462	0.1344	0.0233	-0.0424	0.1253	0.04	0.03	0.03	0.03
2	2008	3.5467	0.1352	0.0214	-0.0466	0.125	0.04	0.03	0.03	0.03
2	2008	3.5473	0.1343	0.0223	-0.0537	0.1211	0.04	0.03	0.03	0.03
2	2008	3.5478	0.14	0.0225	-0.058	0.1253	0.04	0.03	0.03	0.03
2	2008	3.5484	0.1358	0.0296	-0.0575	0.1194	0.04	0.03	0.03	0.03
2	2008	3.549	0.1306	0.0345	-0.0537	0.1138	0.04	0.03	0.03	0.03
2	2008	3.5495	0.1215	0.029	-0.0563	0.1037	0.04	0.03	0.03	0.03
2	2008	3.5501	0.1195	0.0194	-0.0537	0.1047	0.04	0.03	0.03	0.03
2	2008	3.5506	0.1159	0.0189	-0.0591	0.0978	0.04	0.03	0.03	0.03
2	2008	3.5512	0.1166	0.018	-0.0632	0.0962	0.04	0.03	0.03	0.03
