b'SSO_Bare_diameters-1.json',	b'0.001',	b'0.366504230390669'
b'SSO_Bare_diameters-2.json',	b'0.001047615752789665',	b'0.329937247001418'
b'SSO_Bare_diameters-3.json',	b'0.0010974987654930556',	b'0.297276146979827'
b'SSO_Bare_diameters-4.json',	b'0.0011497569953977356',	b'0.268074542077375'
b'SSO_Bare_diameters-5.json',	b'0.0012045035402587824',	b'0.241936706628905'
b'SSO_Bare_diameters-6.json',	b'0.0012618568830660211',	b'0.218524586314976'
b'SSO_Bare_diameters-7.json',	b'0.0013219411484660286',	b'0.197510206381395'
b'SSO_Bare_diameters-8.json',	b'0.0013848863713938732',	b'0.178646157699512'
b'SSO_Bare_diameters-9.json',	b'0.0014508287784959402',	b'0.161679719645838'
b'SSO_Bare_diameters-10.json',	b'0.0015199110829529332',	b'0.146391809542828'
b'SSO_Bare_diameters-11.json',	b'0.0015922827933410922',	b'0.13263034473032'
b'SSO_Bare_diameters-12.json',	b'0.0016681005372000592',	b'0.120215036044501'
b'SSO_Bare_diameters-13.json',	b'0.001747528400007683',	b'0.109021010791187'
b'SSO_Bare_currents-83.json',	b'305.3855508833416',	b'0.101349942040205'
b'SSO_Bare_currents-84.json',	b'327.45491628777285',	b'0.109023114820985'
b'SSO_Bare_currents-85.json',	b'351.1191734215131',	b'0.117325264322077'
b'SSO_Bare_currents-86.json',	b'376.49358067924675',	b'0.126284613689545'
b'SSO_Bare_currents-87.json',	b'403.70172585965537',	b'0.135948932336671'
b'SSO_Bare_currents-88.json',	b'432.8761281083057',	b'0.146416483267612'
b'SSO_Bare_currents-89.json',	b'464.1588833612782',	b'0.157717313530926'
b'SSO_Bare_currents-90.json',	b'497.7023564332114',	b'0.16995564760287'
b'SSO_Bare_currents-91.json',	b'533.6699231206312',	b'0.183187240393927'
b'SSO_Bare_currents-92.json',	b'572.236765935022',	b'0.197536232785496'
b'SSO_Bare_currents-93.json',	b'613.5907273413176',	b'0.213080419839374'
b'SSO_Bare_currents-94.json',	b'657.9332246575682',	b'0.229939126944095'
b'SSO_Bare_currents-95.json',	b'705.4802310718645',	b'0.248226835980731'
b'SSO_Bare_currents-96.json',	b'756.463327554629',	b'0.268109539222678'
b'SSO_Bare_currents-97.json',	b'811.1308307896873',	b'0.289694819725247'
b'SSO_Bare_currents-98.json',	b'869.7490026177834',	b'0.313213191538619'
b'SSO_Bare_currents-99.json',	b'932.60334688322',	b'0.338757889027868'
b'SSO_Bare_currents-100.json',	b'1000.0',	b'0.366638421661818'
