b'SSO_Bare_diameters-1.json',	b'0.001',	b'0.35634274767204'
b'SSO_Bare_diameters-2.json',	b'0.001047615752789665',	b'0.320829502259789'
b'SSO_Bare_diameters-3.json',	b'0.0010974987654930556',	b'0.289125957702572'
b'SSO_Bare_diameters-4.json',	b'0.0011497569953977356',	b'0.260782497643044'
b'SSO_Bare_diameters-5.json',	b'0.0012045035402587824',	b'0.235408323405523'
b'SSO_Bare_diameters-6.json',	b'0.0012618568830660211',	b'0.212663024228678'
b'SSO_Bare_diameters-7.json',	b'0.0013219411484660286',	b'0.192249440414037'
b'SSO_Bare_diameters-8.json',	b'0.0013848863713938732',	b'0.173907612197843'
b'SSO_Bare_diameters-9.json',	b'0.0014508287784959402',	b'0.157409641193949'
b'SSO_Bare_diameters-10.json',	b'0.0015199110829529332',	b'0.142555319689924'
b'SSO_Bare_diameters-11.json',	b'0.0015922827933410922',	b'0.129168406689407'
b'SSO_Bare_diameters-12.json',	b'0.0016681005372000592',	b'0.117093449386669'
b'SSO_Bare_diameters-13.json',	b'0.001747528400007683',	b'0.106193065189753'
b'SSO_Bare_currents-84.json',	b'327.45491628777285',	b'0.106191245559055'
b'SSO_Bare_currents-85.json',	b'351.1191734215131',	b'0.114261199959672'
b'SSO_Bare_currents-86.json',	b'376.49358067924675',	b'0.122973623605724'
b'SSO_Bare_currents-87.json',	b'403.70172585965537',	b'0.132383823019517'
b'SSO_Bare_currents-88.json',	b'432.8761281083057',	b'0.142552430982713'
b'SSO_Bare_currents-89.json',	b'464.1588833612782',	b'0.153545990473605'
b'SSO_Bare_currents-90.json',	b'497.7023564332114',	b'0.165437610762203'
b'SSO_Bare_currents-91.json',	b'533.6699231206312',	b'0.178307705044002'
b'SSO_Bare_currents-92.json',	b'572.236765935022',	b'0.192244820856134'
b'SSO_Bare_currents-93.json',	b'613.5907273413176',	b'0.207346575859236'
b'SSO_Bare_currents-94.json',	b'657.9332246575682',	b'0.2237207132546'
b'SSO_Bare_currents-95.json',	b'705.4802310718645',	b'0.241486293456001'
b'SSO_Bare_currents-96.json',	b'756.463327554629',	b'0.260775040625909'
b'SSO_Bare_currents-97.json',	b'811.1308307896873',	b'0.281732865885188'
b'SSO_Bare_currents-98.json',	b'869.7490026177834',	b'0.304521591465976'
b'SSO_Bare_currents-99.json',	b'932.60334688322',	b'0.329320904197534'
b'SSO_Bare_currents-100.json',	b'1000.0',	b'0.356330570486778'
